,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,average_score,lat,lng,normalized_average_score
191,Sonoma,KK-06,287,16,3.79,31.03,65,5973.93,17.16,14.98,655.1,649.5,652.3,38.3463,-123.0595,-0.09743944468881165
192,Santa Barbara,KK-08,6201,339,7.18,47.7,634,5215.94,19.59,47.88,650.9,653.7,652.3,34.9312,-119.6148,-0.09743944468881165
193,Humboldt,KK-08,577,29,20.34,46.05,134,4882.24,14.2,0.0,657.2,647.5,652.35,40.3987,-123.9474,-0.09481523393091706
194,Sutter,KK-08,170,7,10.59,32.35,41,4145.84,11.91,1.76,660.3,644.5,652.4,38.8981,-121.5729,-0.09219102317302846
195,Shasta,KK-08,164,8,33.54,65.85,36,7542.04,13.39,0.0,655.2,649.6,652.4,40.6722,-121.4228,-0.09219102317302846
196,Kern,KK-08,382,22,29.24,59.21,75,5247.02,11.55,0.0,653.1,651.9,652.5,35.1779,-119.5472,-0.0869426016572453
197,San Diego,KK-08,1221,61,4.34,25.31,250,5169.81,19.03,7.29,656.8,648.9,652.85,32.8711,-116.4247,-0.06857312635200716
198,Santa Cruz,KK-08,2214,108,12.87,36.45,213,5951.01,16.41,17.03,656.1,650.1,653.1,36.8722,-121.8101,-0.055452072562552204
199,Riverside,KK-08,4523,215,5.75,29.2,409,4746.57,14.06,10.44,653.7,653.1,653.4,38.4464,-122.1945,-0.03970680801520864
200,Kern,KK-08,793,39,4.41,30.77,49,4944.09,19.07,2.27,652.4,654.6,653.5,35.1779,-119.5472,-0.03445838649942547
201,Santa Clara,KK-08,1678,88,5.48,38.2,254,6306.49,20.77,28.25,655.6,651.5,653.55,37.3116,-121.9357,-0.031834175741536866
202,Imperial,KK-08,536,22,5.6,28.17,35,4260.31,10.26,8.77,653.4,653.7,653.55,33.4279,-114.7273,-0.031834175741536866
203,San Joaquin,KK-08,307,15,5.54,28.66,36,4718.16,14.58,7.49,654.1,653.3,653.7,37.9299,-121.0043,-0.023961543467859118
204,Tehama,KK-08,347,17,18.44,53.6,56,4751.3,10.2,9.8,655.5,652.1,653.8,40.3409,-121.9174,-0.01871312195208191
205,Humboldt,KK-08,168,11,29.17,63.69,30,5653.45,12.5,12.5,655.9,651.8,653.85,40.3987,-123.9474,-0.016088911194187337
206,Shasta,KK-08,532,31,10.51,29.64,81,5920.25,13.91,0.0,656.6,651.3,653.95,40.6722,-121.4228,-0.010840489678404161
207,Los Angeles,KK-08,3272,150,24.02,76.77,374,4825.59,9.99,31.2,651.4,656.8,654.1,34.0019,-118.2106,-0.002967857404732381
208,Nevada,KK-08,2045,107,12.13,40.93,268,5532.58,13.71,1.37,657.8,650.6,654.2,39.4443,-120.736,0.002280564111050795
209,Tulare,KK-08,156,6,10.43,47.85,7,3926.07,10.1,9.62,659.8,648.6,654.2,35.8114,-118.6364,0.002280564111050795
210,Kern,KK-08,1129,61,34.19,62.27,164,5805.64,11.29,0.0,655.1,653.5,654.3,35.1779,-119.5472,0.007528985626828004
211,Sacramento,KK-08,3669,201,11.36,41.05,500,4899.24,13.23,24.26,652.7,656.5,654.6,38.4636,-121.5022,0.02327425017417753
212,San Benito,KK-08,157,9,1.9,10.13,19,4884.86,13.63,9.55,654.2,655.5,654.85,36.7904,-121.3105,0.03639530396363248
213,San Diego,KK-08,4928,229,8.54,25.89,618,5139.94,14.62,5.93,653.5,656.2,654.85,32.8711,-116.4247,0.03639530396363248
214,Sutter,KK-08,103,5,5.83,23.3,13,5249.36,8.78,0.97,662.2,647.6,654.9,38.8981,-121.5729,0.03901951472152109
215,Fresno,KK-08,175,10,14.86,70.29,17,5399.07,10.34,18.29,650.0,660.1,655.05,36.4042,-120.1341,0.04689214699519287
216,Contra Costa,KK-08,4153,199,7.53,23.44,241,4965.29,16.32,4.98,657.4,652.7,655.05,38.0446,-122.185,0.04689214699519287
217,Siskiyou,KK-06,280,18,8.7,56.52,67,6210.32,10.66,4.29,660.4,649.7,655.05,41.5815,-121.9151,0.04689214699519287
218,San Joaquin,KK-08,865,43,3.08,12.57,96,4797.5,14.58,3.35,660.8,649.6,655.2,37.9299,-121.0043,0.05476477926887062
219,Santa Clara,KK-08,8735,408,7.5,21.34,1120,5397.16,18.63,32.71,655.4,655.2,655.3,37.3116,-121.9357,0.06001320078464783
220,Kings,KK-08,412,20,8.74,60.92,72,5078.5,11.12,9.47,653.0,657.7,655.35,36.4026,-119.7208,0.0626374115425424
221,Stanislaus,KK-08,6373,329,12.68,36.89,624,4733.75,14.6,6.26,657.6,653.1,655.35,37.8272,-120.9144,0.0626374115425424
222,San Joaquin,KK-08,332,18,9.04,34.04,73,4963.06,15.49,13.25,653.2,657.6,655.4,37.9299,-121.0043,0.065261622300431
223,Placer,KK-08,2903,138,11.13,34.45,192,5431.18,16.27,3.17,662.0,649.1,655.55,39.208,-120.8345,0.07313425457410277
224,San Benito,KK-08,565,29,6.73,36.64,60,5382.09,13.63,16.99,651.6,659.8,655.7,36.7904,-121.3105,0.08100688684778053
225,El Dorado,KK-08,586,26,7.51,37.88,78,5724.44,12.39,0.85,662.0,649.6,655.8,38.8026,-120.8946,0.08625530836355774
226,San Bernardino,KK-08,5068,240,7.06,34.23,626,4843.43,15.33,6.65,655.9,655.8,655.85,34.176,-114.264,0.08887951912145231
227,Shasta,KK-08,859,42,16.41,40.16,118,5730.35,12.67,0.12,654.1,658.7,656.4,40.6722,-121.4228,0.11774583745825082
228,Nevada,KK-08,145,10,8.28,20.0,20,5635.79,13.71,0.0,657.8,655.2,656.5,39.4443,-120.736,0.122994258974034
229,San Mateo,KK-08,649,35,3.85,19.57,155,5671.66,17.78,6.93,658.7,654.4,656.55,37.2658,-122.3007,0.12561846973192262
230,Kings,KK-08,1789,96,2.96,56.01,435,7070.63,10.56,9.56,655.4,657.9,656.65,36.4026,-119.7208,0.13086689124770579
231,Shasta,KK-08,775,37,24.9,61.42,50,5097.34,10.52,0.9,661.5,651.9,656.7,40.6722,-121.4228,0.13349110200560035
232,Calaveras,KK-08,777,36,12.99,39.85,148,5482.68,13.24,1.16,663.4,650.2,656.8,38.3168,-120.491,0.13873952352137756
233,Marin,KK-08,3518,188,9.77,49.43,419,5642.83,22.47,40.11,656.7,656.9,656.8,38.0605,-122.7008,0.13873952352137756
234,San Diego,KK-08,19294,924,18.93,50.97,2401,5280.02,15.68,16.66,657.6,656.4,657.0,32.8711,-116.4247,0.14923636655294392
235,Santa Clara,KK-08,7661,386,7.81,32.14,1158,5433.34,23.48,21.96,657.3,656.7,657.0,37.3116,-121.9357,0.14923636655294392
236,Sutter,KK-08,158,8,6.33,25.32,34,4529.28,11.65,8.86,661.0,653.3,657.15,38.8981,-121.5729,0.1571089988266157
237,Nevada,KK-08,117,6,8.4,36.13,42,6039.99,16.36,0.85,664.9,649.9,657.4,39.4443,-120.736,0.17023005261607066
238,Humboldt,KK-08,160,8,16.09,36.78,37,6168.23,14.07,0.0,672.8,642.2,657.5,40.3987,-123.9474,0.17547847413185383
239,Sonoma,KK-08,511,27,27.49,51.85,30,5774.97,13.44,3.91,664.2,650.9,657.55,38.3463,-123.0595,0.17810268488974243
240,San Mateo,KK-08,2770,140,3.61,25.56,296,4806.76,18.34,11.95,659.7,655.6,657.65,37.2658,-122.3007,0.1833511064055256
241,Tehama,KK-08,551,28,15.23,51.56,46,4840.94,11.43,3.99,660.2,655.3,657.75,40.3409,-121.9174,0.18859952792130877
242,Orange,KK-06,5205,242,8.32,37.29,474,4954.47,15.75,22.94,655.1,660.5,657.8,33.818,-117.8104,0.19122373867919737
243,San Bernardino,KK-08,6437,278,2.52,17.15,622,4023.53,15.78,2.49,658.5,657.3,657.9,34.176,-114.264,0.19647216019498057
244,Los Angeles,KK-08,1712,81,5.37,32.65,122,5179.41,14.06,9.87,657.0,659.0,658.0,34.0019,-118.2106,0.20172058171076374
245,Humboldt,KK-08,370,19,6.5,36.31,56,4385.23,12.17,0.54,664.0,652.7,658.35,40.3987,-123.9474,0.22009005701600187
246,San Bernardino,KK-08,3182,153,3.53,26.94,328,4777.51,12.9,8.96,654.7,662.5,658.6,34.176,-114.264,0.2332111108054568
247,San Luis Obispo,KK-06,139,7,0.72,29.5,32,4862.79,10.97,6.47,661.3,656.3,658.8,35.5173,-120.5211,0.2437079538370172
248,Santa Clara,KK-08,11855,588,9.02,32.77,1507,5486.03,17.44,20.73,654.9,663.2,659.05,37.3116,-121.9357,0.25682900762647215
249,El Dorado,KK-08,1068,51,12.83,36.8,129,5486.38,14.76,0.19,662.1,656.2,659.15,38.8026,-120.8946,0.26207742914225535
250,Los Angeles,KK-08,2295,103,4.04,31.37,224,4631.24,14.6,13.99,658.3,660.4,659.35,34.0019,-118.2106,0.2725742721738217
251,Inyo,KK-08,1510,73,10.26,37.11,141,5189.63,13.52,8.74,662.8,656.0,659.4,36.3123,-118.0261,0.2751984829317103
252,Santa Barbara,KK-08,579,27,1.5,31.5,60,4600.61,16.67,20.03,660.0,658.8,659.4,34.9312,-119.6148,0.2751984829317103
253,Madera,KK-08,1012,52,10.48,33.63,140,6735.78,13.52,1.38,660.8,658.8,659.8,36.8799,-120.1147,0.296192168994837
254,Siskiyou,KK-08,1212,68,18.3,47.12,107,5475.17,12.52,2.06,660.4,659.4,659.9,41.5815,-121.9151,0.3014405905106202
255,Sonoma,KK-06,119,7,4.0,33.6,23,5990.79,18.33,28.57,661.7,658.4,660.05,38.3463,-123.0595,0.30931322278429196
256,Nevada,KK-08,590,35,7.8,30.68,78,7203.25,11.47,0.17,673.1,647.1,660.1,39.4443,-120.736,0.31193743354218656
257,Tulare,KK-08,546,27,13.92,54.76,60,4777.77,10.1,13.74,659.8,660.6,660.2,35.8114,-118.6364,0.31718585505796976
258,Tulare,KK-08,248,11,7.46,21.27,51,4302.83,15.36,0.0,667.8,652.8,660.3,35.8114,-118.6364,0.32243427657374696
259,Tuolumne,KK-08,461,26,14.47,48.81,150,5630.19,10.31,0.22,666.9,654.6,660.75,38.0957,-120.1285,0.34605217339476824
260,Los Angeles,KK-08,6312,308,9.84,22.69,496,4708.62,16.99,3.12,662.1,659.8,660.95,34.0019,-118.2106,0.3565490164263346
261,Merced,KK-08,285,13,7.24,66.21,62,5629.96,9.61,47.37,661.1,661.6,661.35,37.2965,-120.3789,0.3775427024894613
262,San Mateo,KK-08,2325,115,2.88,15.66,302,4890.99,21.11,22.71,662.0,660.9,661.45,37.2658,-122.3007,0.3827911240052445
263,Santa Clara,KK-08,11885,549,10.2,30.44,1790,4929.39,16.47,29.12,659.1,664.1,661.6,37.3116,-121.9357,0.3906637562789163
264,Sonoma,KK-08,564,27,6.9,21.38,46,4905.22,18.37,4.43,672.4,650.8,661.6,38.3463,-123.0595,0.3906637562789163
265,Kern,KK-08,12380,620,12.3,31.02,1671,5156.86,16.65,4.81,660.1,663.6,661.85,35.1779,-119.5472,0.40378481006837125
266,San Mateo,KK-08,3772,178,3.37,18.39,529,4941.79,18.54,5.25,665.4,658.3,661.85,37.2658,-122.3007,0.40378481006837125
267,Tuolumne,KK-08,895,47,17.55,42.45,70,5408.78,14.18,1.9,662.7,661.0,661.85,38.0957,-120.1285,0.40378481006837125
268,Placer,KK-08,5714,277,10.53,30.07,489,4981.39,18.03,8.66,664.3,659.5,661.9,39.208,-120.8345,0.40640902082625985
269,Stanislaus,KK-08,105,5,0.0,0.0,16,4877.09,13.59,10.48,662.5,661.3,661.9,37.8272,-120.9144,0.40640902082625985
270,Lassen,KK-08,1449,76,16.53,42.6,125,5111.74,12.64,1.24,660.4,663.5,661.95,40.893,-121.1781,0.40903323158415444
271,Shasta,KK-08,510,24,20.39,45.88,95,5201.52,11.1,0.0,663.1,661.7,662.4,40.6722,-121.4228,0.4326511284051698
272,Tulare,KK-08,160,8,11.25,56.88,39,4138.31,7.5,9.38,651.4,673.4,662.4,35.8114,-118.6364,0.4326511284051698
273,Los Angeles,KK-08,433,22,9.34,25.1,50,5743.6,15.51,1.39,665.4,659.5,662.45,34.0019,-118.2106,0.4352753391630643
274,Santa Clara,KK-08,3186,164,5.45,44.39,411,5702.71,22.84,35.34,663.5,661.5,662.5,37.3116,-121.9357,0.4378995499209529
275,Los Angeles,KK-06,5010,239,5.3,27.35,576,4802.15,19.82,9.64,661.7,663.4,662.55,34.0019,-118.2106,0.4405237606788415
276,Sonoma,KK-08,717,35,8.89,24.72,100,5442.14,16.35,2.23,669.4,655.7,662.55,38.3463,-123.0595,0.4405237606788415
277,Kern,KK-08,3548,170,3.26,14.85,335,4522.38,16.29,0.37,658.3,667.0,662.65,35.1779,-119.5472,0.4457721821946247
278,Shasta,KK-08,868,45,16.59,29.84,78,4965.81,13.25,0.58,662.4,663.0,662.7,40.6722,-121.4228,0.44839639295251926
279,Placer,KK-08,507,26,13.2,37.09,60,5358.33,14.01,0.0,667.1,658.4,662.75,39.208,-120.8345,0.45102060371040786
280,Siskiyou,KK-08,822,46,8.07,25.61,105,5784.62,14.16,0.85,668.3,657.5,662.9,41.5815,-121.9151,0.45889323598407966
281,Sonoma,KK-06,1792,88,3.12,20.93,143,5072.7,15.77,5.52,667.4,659.3,663.35,38.3463,-123.0595,0.482511132805101
282,Madera,KK-08,1202,62,12.08,35.85,190,5556.04,14.48,0.0,664.3,662.6,663.45,36.8799,-120.1147,0.48775955432088414
283,Humboldt,KK-06,515,27,16.12,26.21,58,5190.31,14.21,0.0,660.2,666.8,663.5,40.3987,-123.9474,0.49038376507877274
284,El Dorado,KK-08,1354,66,12.04,36.48,263,5211.49,15.17,2.44,666.4,661.3,663.85,38.8026,-120.8946,0.5087532403840109
285,Sonoma,KK-06,1252,65,9.45,43.22,113,5284.16,12.58,20.77,659.4,668.3,663.85,38.3463,-123.0595,0.5087532403840109
286,Tehama,KK-08,823,46,13.85,55.29,127,5331.92,10.55,2.19,657.7,670.1,663.9,40.3409,-121.9174,0.5113774511418995
287,Sonoma,KK-06,2231,114,2.92,13.37,258,5599.61,16.96,13.63,666.2,661.8,664.0,38.3463,-123.0595,0.5166258726576827
288,Sonoma,KK-06,271,14,4.47,25.43,81,4881.9,17.71,13.28,668.7,659.3,664.0,38.3463,-123.0595,0.5166258726576827
289,Placer,KK-08,309,15,4.21,32.69,85,4700.43,16.27,1.94,671.3,657.0,664.15,39.208,-120.8345,0.5244985049313544
290,Santa Cruz,KK-06,3005,159,8.62,33.81,308,5650.0,17.9,23.06,666.7,661.6,664.15,36.8722,-121.8101,0.5244985049313544
291,Humboldt,KK-08,966,47,20.96,47.31,114,5318.24,11.83,0.62,674.0,654.6,664.3,40.3987,-123.9474,0.5323711372050263
292,San Bernardino,KK-08,7710,327,4.47,15.93,814,4709.05,18.62,3.26,663.4,665.4,664.4,34.176,-114.264,0.5376195587208094
293,Placer,KK-08,762,35,10.81,30.37,54,5143.19,12.43,0.0,663.1,665.8,664.45,39.208,-120.8345,0.540243769478704
294,El Dorado,KK-08,1708,89,8.49,29.04,206,5133.01,15.17,2.22,665.5,663.9,664.7,38.8026,-120.8946,0.553364823268159
295,Orange,KK-08,9850,489,3.34,30.64,1113,5081.46,20.88,18.56,663.7,665.8,664.75,33.818,-117.8104,0.5559890340260475
296,Glenn,KK-08,129,5,9.3,50.39,10,4016.42,10.64,6.2,667.6,662.3,664.95,39.6002,-122.5376,0.5664858770576139
297,San Mateo,KK-08,10619,565,2.54,28.38,1150,5374.05,25.03,18.46,665.9,664.0,664.95,37.2658,-122.3007,0.5664858770576139
298,Santa Barbara,KK-06,4521,236,3.71,31.08,494,5427.55,16.76,32.07,666.8,663.4,665.1,34.9312,-119.6148,0.5743585093312856
299,San Bernardino,KK-08,580,29,11.9,30.17,114,5179.64,15.3,3.97,656.2,674.2,665.2,34.176,-114.264,0.5796069308470688
300,Sonoma,KK-06,2569,138,5.49,24.75,326,5400.0,17.37,15.34,669.8,660.9,665.35,38.3463,-123.0595,0.5874795631207406
301,Santa Clara,KK-08,6022,286,6.39,36.0,756,5726.15,22.1,27.67,663.9,667.4,665.65,37.3116,-121.9357,0.6032248276680842
302,Santa Barbara,KK-08,670,33,0.42,13.87,47,5003.87,22.84,12.54,670.3,661.5,665.9,34.9312,-119.6148,0.6163458814575391
303,San Diego,KK-08,14708,700,13.53,45.72,1962,4969.51,18.32,12.68,664.5,667.4,665.95,32.8711,-116.4247,0.6189700922154338
304,Orange,KK-08,6601,305,1.2,15.09,706,4747.3,25.03,6.91,668.0,664.0,666.0,33.818,-117.8104,0.6215943029733223
305,Santa Barbara,KK-08,675,33,0.0,31.85,87,4543.31,21.96,14.96,668.7,663.4,666.05,34.9312,-119.6148,0.624218513731211
306,Santa Cruz,KK-08,2458,124,6.02,24.6,193,5229.59,18.8,11.27,666.9,665.3,666.1,36.8722,-121.8101,0.6268427244891055
307,Glenn,KK-08,144,8,4.17,44.44,14,4507.35,10.64,9.72,671.9,660.4,666.15,39.6002,-122.5376,0.629466935246994
308,Sonoma,KK-08,573,29,6.99,15.21,48,5302.63,17.51,3.32,671.0,661.3,666.15,38.3463,-123.0595,0.629466935246994
309,Nevada,KK-08,721,35,1.85,18.49,82,5545.61,18.59,0.69,668.8,664.1,666.45,39.4443,-120.736,0.6452121997943436
310,Kings,KK-08,992,46,3.73,22.88,160,4615.91,11.12,5.14,671.2,661.9,666.55,36.4026,-119.7208,0.6504606213101208
311,San Diego,KK-08,8432,360,6.39,22.98,0,5397.69,14.1,4.97,663.7,669.5,666.6,32.8711,-116.4247,0.6530848320680154
312,Lassen,KK-08,244,11,15.57,40.16,15,5118.37,12.64,6.97,672.1,661.2,666.65,40.893,-121.1781,0.655709042825904
313,Ventura,KK-08,7116,356,2.6,13.28,785,5008.07,20.94,8.0,667.5,665.8,666.65,34.258,-118.6662,0.655709042825904
314,Tuolumne,KK-08,830,46,10.41,32.61,95,4906.03,14.18,0.48,662.1,671.3,666.7,38.0957,-120.1285,0.6583332535837986
315,Siskiyou,KK-06,160,10,13.38,53.5,38,6870.35,11.83,2.5,666.9,666.8,666.85,41.5815,-121.9151,0.6662058858574703
316,Sonoma,KK-06,1588,83,6.8,20.58,220,5301.72,18.67,3.84,671.3,662.4,666.85,38.3463,-123.0595,0.6662058858574703
317,San Diego,KK-08,2272,108,4.05,16.07,307,5182.37,17.33,1.32,667.7,666.6,667.15,32.8711,-116.4247,0.6819511504048139
318,Sonoma,KK-08,1425,71,5.09,19.83,65,4999.47,17.51,4.91,669.8,664.6,667.2,38.3463,-123.0595,0.6845753611627085
319,Humboldt,KK-06,245,12,8.98,13.06,30,6732.07,15.57,0.0,672.2,662.7,667.45,40.3987,-123.9474,0.6976964149521634
320,Kern,KK-08,1349,65,2.0,8.67,259,4612.99,15.57,0.22,667.0,667.9,667.45,35.1779,-119.5472,0.6976964149521634
321,Tulare,KK-08,400,22,13.8,29.86,65,5478.85,15.75,0.0,669.2,666.0,667.6,35.8114,-118.6364,0.7055690472258352
322,Santa Clara,KK-08,4632,245,7.04,23.64,637,5666.71,20.47,17.85,669.4,666.6,668.0,37.3116,-121.9357,0.7265627332889619
323,Kern,KK-08,224,9,5.36,35.27,15,4742.51,9.71,4.46,660.5,675.7,668.1,35.1779,-119.5472,0.7318111548047451
324,Kings,KK-08,576,31,3.99,28.12,92,4907.39,11.12,9.55,665.8,671.0,668.4,36.4026,-119.7208,0.7475564193520887
325,San Diego,KK-08,451,25,8.65,11.75,75,5700.4,16.32,3.99,672.7,664.5,668.6,32.8711,-116.4247,0.758053262383655
326,San Diego,KK-06,900,50,2.1,24.34,145,5191.83,21.97,20.67,668.8,668.5,668.65,32.8711,-116.4247,0.7606774731415437
327,Tulare,KK-08,118,5,8.33,51.67,10,4451.26,8.93,7.63,668.5,669.1,668.8,35.8114,-118.6364,0.7685501054152154
328,San Diego,KK-08,1457,73,5.98,42.96,0,5627.53,20.0,27.45,666.2,671.6,668.9,32.8711,-116.4247,0.7737985269309986
329,Orange,KK-06,4734,232,2.61,19.37,586,4922.94,18.83,10.86,665.5,672.4,668.95,33.818,-117.8104,0.7764227376888931
330,Los Angeles,KK-08,3303,146,4.66,16.95,379,4969.38,18.12,5.03,666.1,672.1,669.1,34.0019,-118.2106,0.784295369962565
331,Los Angeles,KK-06,6055,286,5.61,30.09,540,4829.72,23.67,14.24,668.9,669.7,669.3,34.0019,-118.2106,0.7947922129941254
332,Marin,KK-08,424,23,3.54,15.33,39,6716.69,22.14,0.24,680.9,657.7,669.3,38.0605,-122.7008,0.7947922129941254
333,Santa Clara,KK-08,2801,139,5.03,23.1,615,5205.94,20.55,2.07,673.3,665.4,669.35,37.3116,-121.9357,0.7974164237520199
334,Tehama,KK-08,187,9,17.55,44.68,37,4357.83,9.48,8.56,664.6,674.1,669.35,40.3409,-121.9174,0.7974164237520199
335,Humboldt,KK-08,129,6,13.95,27.13,17,5195.92,11.83,0.0,670.1,669.5,669.8,40.3987,-123.9474,0.8210343205730353
336,San Diego,KK-06,188,9,6.38,36.7,41,6002.07,18.8,4.79,673.2,666.5,669.85,32.8711,-116.4247,0.8236585313309298
337,Shasta,KK-08,1212,65,22.19,46.12,116,5090.59,10.55,3.96,669.2,670.7,669.95,40.6722,-121.4228,0.828906952846713
338,Kern,KK-08,2596,135,3.0,19.53,249,5112.39,15.52,1.58,669.2,670.8,670.0,35.1779,-119.5472,0.8315311636046016
339,Santa Clara,KK-08,4925,253,3.82,12.17,753,5287.35,21.63,3.59,672.8,668.6,670.7,37.3116,-121.9357,0.8682701142150778
340,Orange,KK-08,6257,288,2.16,15.51,930,4889.48,21.1,8.73,671.2,671.3,671.25,33.818,-117.8104,0.8971364325518764
341,El Dorado,KK-08,868,45,4.72,19.01,122,5118.13,15.17,0.0,674.6,668.0,671.3,38.8026,-120.8946,0.899760643309765
342,El Dorado,KK-08,3787,186,3.25,8.34,934,5119.12,19.12,0.26,674.9,668.3,671.6,38.8026,-120.8946,0.9155059078571145
343,Placer,KK-08,6423,306,2.93,14.27,855,4792.21,17.62,1.45,671.4,671.8,671.6,39.208,-120.8345,0.9155059078571145
344,El Dorado,KK-08,678,34,2.51,15.93,47,5450.1,15.17,0.15,677.6,665.7,671.65,38.8026,-120.8946,0.9181301186150032
345,Humboldt,KK-08,162,8,16.96,33.92,23,5210.72,10.64,0.0,679.8,663.6,671.7,40.3987,-123.9474,0.9207543293728977
346,Los Angeles,KK-06,8529,407,2.19,11.7,834,4715.45,20.74,3.71,668.9,674.6,671.75,34.0019,-118.2106,0.9233785401307862
347,Placer,KK-08,1862,89,2.83,21.09,231,4632.07,21.57,0.27,673.1,670.7,671.9,39.208,-120.8345,0.9312511724044581
348,Placer,KK-08,1452,70,2.43,10.41,183,5028.56,17.66,0.0,679.6,664.2,671.9,39.208,-120.8345,0.9312511724044581
349,Sonoma,KK-06,155,8,0.65,12.26,32,5695.47,17.71,4.52,672.3,671.6,671.95,38.3463,-123.0595,0.9338753831623526
350,San Mateo,KK-08,2536,127,2.03,2.03,343,4504.29,27.82,2.44,676.1,668.0,672.05,37.2658,-122.3007,0.9391238046781298
351,Nevada,KK-08,567,30,4.9,29.02,103,5156.44,18.59,0.0,673.9,670.2,672.05,39.4443,-120.736,0.9391238046781298
352,Madera,KK-08,953,52,7.99,33.92,135,5433.51,14.26,0.0,668.1,676.5,672.3,36.8799,-120.1147,0.9522448584675848
353,San Luis Obispo,KK-08,296,15,5.59,25.99,42,5254.63,22.76,5.41,674.6,670.1,672.35,35.5173,-120.5211,0.9548690692254794
354,Lassen,KK-08,198,9,2.45,12.75,24,4593.2,12.64,0.0,672.7,672.2,672.45,40.893,-121.1781,0.9601174907412625
355,Fresno,KK-08,218,10,2.24,25.11,49,4320.68,11.24,6.42,669.4,675.7,672.55,36.4042,-120.1341,0.9653659122570397
356,Sonoma,KK-06,734,36,2.02,12.82,117,4920.78,16.96,6.54,676.1,669.3,672.7,38.3463,-123.0595,0.9732385445307175
357,Sonoma,KK-06,189,11,2.07,32.12,50,6905.87,17.71,14.29,679.1,667.0,673.05,38.3463,-123.0595,0.9916080198359497
358,San Mateo,KK-08,2528,138,1.34,2.45,482,5729.9,25.62,3.68,675.0,671.5,673.25,37.2658,-122.3007,1.002104862867516
359,El Dorado,KK-08,2987,154,2.04,11.18,290,4825.2,18.73,0.5,676.1,670.5,673.3,38.8026,-120.8946,1.0047290736254046
360,Placer,KK-08,208,11,9.39,32.86,21,5388.17,13.44,0.0,680.5,666.6,673.55,39.208,-120.8345,1.0178501274148595
361,San Diego,KK-08,379,23,2.9,22.16,29,5133.83,15.18,22.69,670.5,676.6,673.55,32.8711,-116.4247,1.0178501274148595
362,El Dorado,KK-08,145,9,6.21,0.0,27,5346.16,19.12,0.0,670.5,677.3,673.9,38.8026,-120.8946,1.0362196027200976
363,Nevada,KK-08,706,37,2.59,23.05,103,4789.31,13.71,0.14,676.0,672.5,674.25,39.4443,-120.736,1.0545890780253357
364,Sonoma,KK-08,878,47,1.38,15.75,105,5329.78,17.51,2.73,681.0,669.8,675.4,38.3463,-123.0595,1.1149459254568275
365,Humboldt,KK-08,594,33,12.27,25.38,75,5371.17,11.83,1.68,683.0,668.4,675.7,40.3987,-123.9474,1.130691190004177
366,Trinity,KK-08,139,7,20.86,66.91,40,5771.38,13.27,0.0,680.1,672.2,676.15,40.6262,-123.4689,1.1543090868251924
367,Nevada,KK-08,2089,102,2.52,14.04,318,4993.63,16.36,0.14,673.8,679.3,676.55,39.4443,-120.736,1.175302772888319
368,Placer,KK-08,326,16,4.29,11.04,42,4854.04,18.63,0.0,673.3,679.9,676.6,39.208,-120.8345,1.1779269836462136
369,Ventura,KK-08,516,21,0.97,27.71,50,4392.68,23.73,11.05,680.5,673.2,676.85,34.258,-118.6662,1.1910480374356687
370,Trinity,KK-08,449,25,12.73,48.48,50,5884.43,12.93,0.0,672.8,681.1,676.95,40.6262,-123.4689,1.1962964589514518
371,Shasta,KK-08,297,15,2.36,4.04,70,4273.99,13.91,0.0,679.0,675.5,677.25,40.6722,-121.4228,1.2120417234987952
372,Nevada,KK-08,1579,80,5.56,21.78,165,5146.78,15.43,0.06,678.5,677.4,677.95,39.4443,-120.736,1.2487806741092715
373,Humboldt,KK-08,383,20,6.01,10.18,49,5351.52,15.38,0.0,682.9,673.2,678.05,40.3987,-123.9474,1.2540290956250488
374,Sonoma,KK-08,81,5,3.61,0.0,14,7667.57,22.53,0.0,685.3,671.5,678.4,38.3463,-123.0595,1.272398570930287
375,San Diego,KK-06,5259,262,2.4,19.09,701,5281.71,23.81,15.06,679.0,678.6,678.8,32.8711,-116.4247,1.2933922569934138
376,Marin,KK-08,1960,108,1.94,3.73,223,5368.5,24.6,1.48,684.1,674.7,679.4,38.0605,-122.7008,1.3248827860881067
377,Santa Clara,KK-06,151,8,2.65,8.61,31,6429.26,36.17,2.65,676.8,682.2,679.5,37.3116,-121.9357,1.3301312076038898
378,Los Angeles,KK-08,946,49,2.18,6.54,310,5387.46,33.46,1.48,683.1,676.2,679.65,34.0019,-118.2106,1.3380038398775618
379,Sonoma,KK-06,2707,141,5.14,19.23,300,5235.77,20.48,4.47,678.7,680.8,679.75,38.3463,-123.0595,1.3432522613933449
380,Monterey,KK-08,919,46,1.05,0.0,141,4829.9,20.13,0.33,680.2,679.4,679.8,36.8019,-121.7872,1.3458764721512335
381,Sonoma,KK-06,945,46,4.24,10.65,216,5088.71,19.35,2.54,685.7,674.4,680.05,38.3463,-123.0595,1.3589975259406883
382,Santa Clara,KK-08,738,39,0.0,0.68,220,5390.12,36.17,0.54,684.2,676.7,680.45,37.3116,-121.9357,1.3799912120038211
383,Sonoma,KK-06,164,10,2.35,12.94,35,6588.43,22.86,11.59,682.8,679.8,681.3,38.3463,-123.0595,1.4246027948879632
